sku,name,price,description,is_in_stock,ADVERTISER CATEGORY
YTNK.BBLU.BBLU.IBLU-8,Yantra Tank-Boy Blue-8,26,Yantra Tank in Boy Blue.,1,yoga apparel
YTNK.BBLU.BBLU.IBLU-10,Yantra Tank-Boy Blue-10,26,Yantra Tank in Boy Blue.,1,yoga apparel
YTNK.BBLU.BBLU.IBLU-12,Yantra Tank-Boy Blue-12,26,Yantra Tank in Boy Blue.,1,yoga apparel
YTNK.C6.TPNK.C6-2,Yantra Tank-Carbon 6 / Tickled Pink-2,26,Yantra Tank in Carbon 6 / Tickled Pink.,0,yoga apparel
YTNK.C6.TPNK.C6-4,Yantra Tank-Carbon 6 / Tickled Pink-4,26,Yantra Tank in Carbon 6 / Tickled Pink.,0,yoga apparel
YTNK.C6.TPNK.C6-6,Yantra Tank-Carbon 6 / Tickled Pink-6,26,Yantra Tank in Carbon 6 / Tickled Pink.,0,yoga apparel
YTNK.C6.TPNK.C6-8,Yantra Tank-Carbon 6 / Tickled Pink-8,26,Yantra Tank in Carbon 6 / Tickled Pink.,0,yoga apparel
YTNK.C6.TPNK.C6-10,Yantra Tank-Carbon 6 / Tickled Pink-10,26,Yantra Tank in Carbon 6 / Tickled Pink.,1,yoga apparel
YTNK.C6.TPNK.C6-12,Yantra Tank-Carbon 6 / Tickled Pink-12,26,Yantra Tank in Carbon 6 / Tickled Pink.,1,yoga apparel
YTNK.BBLU.IBLU.BBLU-2,Yantra Tank-Boy Blue / India Blue-2,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
YTNK.BBLU.IBLU.BBLU-4,Yantra Tank-Boy Blue / India Blue-4,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
YTNK.BBLU.IBLU.BBLU-6,Yantra Tank-Boy Blue / India Blue-6,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
YTNK.BBLU.IBLU.BBLU-8,Yantra Tank-Boy Blue / India Blue-8,26,Yantra Tank in Boy Blue / India Blue.,1,yoga apparel
YTNK.BBLU.IBLU.BBLU-10,Yantra Tank-Boy Blue / India Blue-10,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
YTNK.BBLU.IBLU.BBLU-12,Yantra Tank-Boy Blue / India Blue-12,26,Yantra Tank in Boy Blue / India Blue.,0,yoga apparel
UMBRA.TPNK.TPNK.TPNK-12,U & Me Bra-Tickled Pink-12,24,U & Me Bra in Tickled Pink.,0,yoga apparel
